Time,ECG,PCG,PPG
11050,486,813,38591
11060,481,712,38612
11070,488,756,38627
11080,484,690,38644
11090,484,717,38638
11100,487,735,38636
11110,485,745,38635
11120,487,760,38627
11130,482,776,38596
11140,483,831,38598
11150,483,815,38605
11160,483,857,38588
11170,486,848,38594
11180,487,838,38595
11190,493,843,38598
11200,496,854,38591
11210,500,840,38601
11220,504,825,38605
11230,510,784,38609
11240,511,848,38617
11250,514,838,38610
11260,512,807,38617
11270,518,832,38590
11280,514,846,38580
11290,515,829,38576
11300,515,818,38584
11310,509,846,38592
11320,512,816,38599
11330,508,843,38594
11340,505,833,38594
11350,506,795,38607
11360,504,775,38606
11370,504,754,38621
11380,500,712,38636
11390,498,706,38630
11400,497,711,38643
11410,488,714,38631
11420,483,748,38615
11430,469,773,38601
11440,461,789,38593
11450,458,834,38598
11460,451,828,38599
11470,452,807,38601
11480,449,809,38591
11490,450,819,38596
11500,452,810,38596
11510,448,841,38610
11520,449,795,38614
11530,449,769,38609
11540,449,838,38606
11550,453,795,38614
11560,451,832,38621
11570,455,854,38591
11580,458,826,38581
11590,460,828,38589
11600,476,881,38585
11610,480,806,38594
11620,487,813,38597
11630,492,843,38592
11640,492,818,38601
11650,496,802,38610
11660,495,806,38615
11670,497,757,38631
11680,497,722,38647
11690,497,741,38644
11700,498,735,38641
11710,498,724,38628
11720,500,749,38628
11730,499,758,38610
11740,496,818,38597
11750,498,824,38603
11760,496,812,38594
11770,496,832,38601
11780,496,778,38608
11790,494,823,38605
11800,495,826,38595
11810,493,806,38608
11820,493,813,38615
11830,497,817,38611
11840,491,842,38617
11850,494,808,38618
11860,491,806,38620
11870,484,809,38606
11880,490,830,38580
11890,483,805,38572
11900,486,856,38582
11910,483,856,38592
11920,483,843,38583
11930,487,863,38604
11940,483,820,38593
11950,483,813,38606
11960,486,774,38615
11970,485,796,38632
11980,488,700,38638
11990,486,729,38636
12000,489,759,38650
12010,493,716,38642
12020,490,765,38625
12030,496,800,38601
12040,494,803,38593
12050,498,843,38609
12060,499,862,38608
12070,495,829,38600
12080,497,837,38599
12090,491,828,38605
12100,492,806,38597
12110,490,817,38614
12120,487,794,38614
12130,491,790,38611
12140,492,817,38607
12150,492,813,38607
12160,491,811,38619
12170,488,876,38593
12180,496,807,38578
12190,503,823,38587
12200,504,840,38590
12210,507,839,38591
12220,504,818,38594
12230,508,869,38598
12240,507,811,38605
12250,505,813,38603
12260,505,770,38607
12270,504,758,38640
12280,503,721,38642
12290,504,747,38641
12300,502,674,38639
12310,504,752,38634
12320,501,784,38629
12330,501,785,38597
12340,502,811,38603
12350,500,817,38604
12360,501,818,38600
12370,499,811,38605
12380,505,837,38602
12390,504,804,38604
12400,503,805,38604
12410,504,831,38611
12420,501,837,38613
12430,500,795,38610
12440,503,847,38611
12450,502,819,38613
12460,505,857,38614
12470,503,821,38592
12480,503,834,38561
12490,507,840,38579
12500,505,815,38584
12510,507,809,38600
12520,507,839,38583
12530,508,830,38595
12540,510,850,38600
12550,508,799,38602
12560,508,783,38602
12570,508,751,38633
12580,510,727,38644
12590,510,703,38643
12600,508,737,38641
12610,509,737,38638
12620,507,744,38630
12630,502,724,38606
12640,505,832,38597
12650,502,809,38610
12660,507,822,38605
12670,511,825,38605
12680,514,820,38605
12690,518,832,38598
12700,516,814,38597
12710,521,817,38600
12720,519,816,38611
12730,521,752,38605
12740,525,803,38614
12750,522,827,38611
12760,521,789,38619
12770,521,824,38597
12780,520,815,38575
12790,526,820,38587
12800,521,835,38581
12810,518,821,38596
12820,521,823,38578
12830,520,822,38593
12840,520,808,38614
12850,514,771,38609
12860,515,800,38604
12870,510,775,38629
12880,507,724,38640
12890,509,742,38647
12900,504,730,38641
12910,504,693,38632
12920,502,794,38637
12930,498,746,38613
12940,501,809,38597
12950,493,828,38610
12960,499,836,38602
12970,494,830,38609
12980,489,791,38600
12990,493,833,38595
13000,486,816,38593
13010,491,818,38605
13020,492,810,38610
13030,496,770,38608
13040,503,711,38608
13050,497,831,38611
13060,500,841,38613
13070,502,794,38624
13080,495,814,38593
13090,503,823,38579
13100,497,816,38593
13110,496,798,38595
13120,497,838,38603
13130,493,822,38599
13140,502,794,38608
13150,502,791,38613
13160,501,826,38596
13170,508,755,38623
13180,500,722,38632
13190,505,691,38646
13200,487,723,38644
13210,479,727,38633
13220,482,684,38634
13230,477,755,38627
13240,474,834,38600
13250,471,805,38607
13260,466,816,38600
13270,468,840,38606
13280,463,838,38605
13290,469,823,38606
13300,464,826,38596
13310,465,829,38602
13320,470,823,38617
13330,467,771,38614
13340,474,719,38608
13350,478,821,38613
13360,477,810,38614
13370,482,821,38612
13380,479,821,38592
13390,485,794,38577
13400,488,829,38585
13410,489,839,38590
13420,493,845,38597
13430,491,816,38593
13440,493,820,38601
13450,495,831,38620
13460,494,816,38599
13470,498,759,38616
13480,498,678,38632
13490,498,728,38637
13500,502,705,38646
13510,498,687,38633
13520,502,719,38637
13530,501,783,38634
13540,503,802,38610
13550,503,789,38599
13560,501,842,38606
13570,507,811,38599
13580,506,812,38603
13590,504,816,38609
13600,508,832,38598
13610,505,834,38599
13620,512,807,38614
13630,508,759,38619
13640,508,764,38610
13650,511,811,38611
13660,509,812,38621
13670,509,839,38618
13680,512,816,38603
13690,511,823,38579
13700,514,830,38585
13710,511,844,38596
13720,515,828,38596
13730,516,820,38593
13740,516,804,38590
13750,520,848,38611
13760,516,836,38604
13770,519,746,38608
13780,519,713,38630
13790,518,731,38648
13800,522,702,38646
13810,517,700,38643
13820,518,741,38634
13830,518,755,38625
13840,515,790,38607
13850,519,823,38601
13860,516,837,38604
13870,515,802,38596
13880,512,816,38601
13890,511,827,38604
13900,512,841,38604
13910,508,802,38613
13920,510,809,38610
13930,510,828,38613
13940,506,798,38622
13950,509,805,38613
